bigram,n
rights the,146
state and,145
terms of,145
this country,145
v jackson,145
and has,144
and how,144
for years,144
the kind,144
a recent,143
abortion activists,143
go to,143
should have,143
up for,143
what we,143
where they,143
a fetus,142
a number,142
are in,142
history of,142
in favor,142
in place,142
mississippi law,142
new law,142
not going,142
six week,142
the chief,142
which was,142
within the,142
you don’t,142
federal law,141
for many,141
it could,141
sense of,141
the current,141
to bring,141
we will,141
with abortion,141
a single,140
and an,140
dobbs v,140
even in,140
i believe,140
it as,140
thousands of,140
to try,140
wade and,140
wants to,140
and some,139
anyone who,139
even though,139
had the,139
is what,139
of justice,139
roe is,139
think it’s,139
we don’t,139
abortion services,138
case that,138
don’t want,138
mr biden’s,138
pregnant women,138
right wing,138
that can,138
the church,138
the mississippi,138
we were,138
a good,137
and one,137
and said,137
get an,137
i know,137
of california,137
rights of,137
that people,137
a baby,136
a second,136
an anti,136
and its,136
if we,136
re election,136
recent years,136
seeking abortions,136
the day,136
the movement,136
to his,136
and mr,135
are now,135
but a,135
chief executive,135
for democrats,135
has said,135
high school,135
in part,135
in roe,135
more likely,135
out the,135
the legislation,135
the pills,135
trump administration,135
were not,135
woman who,135
center for,134
has the,134
his own,134
in order,134
of being,134
protect the,134
say the,134
the 2020,134
24 weeks,133
democrats are,133
enough to,133
in june,133
is at,133
it had,133
must be,133
power to,133
say they,133
the democrats,133
the rights,133
to avoid,133
with an,133
and if,132
as he,132
for people,132
four years,132
i will,132
states like,132
to restrict,132
as i,131
care for,131
for me,131
i can,131
supporters of,131
to change,131
to that,131
until the,131
a doctor,130
and for,130
at home,130
at risk,130
be more,130
in terms,130
law which,130
made it,130
me that,130
order to,130
this was,130
time the,130
travel to,130
