title,description,url,publicationDate,category,authors,text
Colombia Court Keeps Restrictive Abortion Law in Place,"Abortion rights advocates had hoped that a top court might legalize the procedure and herald a shift in Latin America. Instead, it left abortion illegal in most cases.",https://www.nytimes.com/2020/03/02/world/americas/colombia-abortion.html,2020-03-02,World,By Julie Turkewitz,"BOGOTÁ, Colombia — A top court in Colombia declined to legalize abortion on Monday, disappointing abortion rights supporters who had hoped the case would herald a shift in Latin America and encourage other nations in the region to liberalize their laws."
The Heartbeat Bills Were Never the Real Threat to Abortion Rights,The most sophisticated opponents of abortion have long been playing a much subtler game — and we’re about to see it come to fruition.,https://www.nytimes.com/2020/03/03/opinion/abortion-supreme-court.html,2020-03-03,Opinion,By Mary Ziegler,What if the heartbeat bills — those bans on abortion as early as six weeks into a pregnancy that made headlines last spring in states from Georgia to Missouri — were not the real story? What if the most serious threat to Roe v. Wade were far more subtle — and based on arguments similar to those that the Supreme Court has already rejected?
An Abortion Clinic’s Fate Before a Transformed Supreme Court,The court will soon hear arguments in its first major abortion case since the retirement of Justice Anthony M. Kennedy. It could leave Louisiana with a single abortion clinic.,https://www.nytimes.com/2020/03/03/us/supreme-court-abortion-louisiana.html,2020-03-03,U.S.,By Adam Liptak,"SHREVEPORT, La. — Kathaleen Pittman, the director of the Hope Medical Group for Women, remembers when there were 11 abortion clinics in Louisiana. Now there are only three, hers among them. Soon, depending on how the Supreme Court rules in a case to be argued on Wednesday, there may be just one, in New Orleans, more than 300 miles away."
The Wall Some Texans Want to Build Against Abortion,"Around the country, a “sanctuary city” movement is growing on the right and the left, as people seek to keep out views they don’t agree with, legal or not.",https://www.nytimes.com/2020/03/03/us/politics/texas-abortion-sanctuary-cities.html,2020-03-03,U.S.,By Dionne Searcey,"LINDALE, Texas — A small group of women at a recent City Council meeting held hands and offered hushed prayers in an otherwise silent room."
Justices Give Few Hints on How They Will Rule on Louisiana Abortion Law,"The Supreme Court is considering whether Louisiana can require doctors who perform abortions to have admitting privileges at nearby hospitals, in a case likely to yield an unusually telling decision.",https://www.nytimes.com/2020/03/04/us/supreme-court-abortion.html,2020-03-04,U.S.,By Adam Liptak,WASHINGTON — The argument at times sounded like a sterile analysis undertaken by management consultants: What were the benefits of requiring doctors who perform abortions to have relationships with nearby hospitals? Would requiring such relationships force abortion clinics to close?
John Roberts Condemns Schumer for Saying Justices ‘Will Pay the Price’ for ‘Awful Decisions’,"Senator Chuck Schumer, speaking while the court heard arguments in a major abortion case, directed his criticism at President Trump’s two Supreme Court appointees.",https://www.nytimes.com/2020/03/04/us/roberts-schumer-supreme-court.html,2020-03-04,U.S.,By Adam Liptak,"WASHINGTON — Chief Justice John G. Roberts Jr., who only very rarely responds to criticism of federal judges, issued a statement on Wednesday denouncing remarks made by Senator Chuck Schumer of New York, the Democratic leader, at a rally outside the Supreme Court."
"Joe Biden, Coronavirus, Abortion Law: Your Wednesday Evening Briefing",Here’s what you need to know at the end of the day.,https://www.nytimes.com/2020/03/04/briefing/joe-biden-coronavirus-abortion-law.html,2020-03-04,Briefing,By Victoria Shannon and Marcus Payadue,(Want to get this briefing by email? Here’s the sign-up.) 
The Supreme Court Has a Special ‘Friend’: The Justice Department,A new study questions the court’s practice of automatically granting argument time to the solicitor general as a “friend of the court.”,https://www.nytimes.com/2020/03/09/us/supreme-court-solicitor-general-amicus.html,2020-03-09,U.S.,By Adam Liptak,"WASHINGTON — There were more than 70 friend-of-the-court briefs filed in the big abortion case argued last week at the Supreme Court. But only one such friend was granted time to argue alongside the parties: the Office of the Solicitor General, the elite unit of the Justice Department that represents the federal government in the court."
A Test for Abortion Rights,We went to a health clinic at the center of a Supreme Court case that may determine the future of reproductive rights in Louisiana.,https://www.nytimes.com/2020/03/09/podcasts/the-daily/abortion.html,2020-03-09,Podcasts,,Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher
The Supreme Court’s Fictional Middle Ground on Abortion,There is no such thing.,https://www.nytimes.com/2020/03/12/opinion/abortion-supreme-court.html,2020-03-12,Opinion,By Linda Greenhouse,"Following last week’s argument in a Louisiana abortion case, the consensus among attentive Supreme Court-watchers is that the outcome depends on Chief Justice John Roberts, who seemed not to share Justice Samuel Alito’s visceral dislike of abortion clinics and his deep suspicion of doctors who work in them. I agree."
‘Never Rarely Sometimes Always’ Review: A Woman’s Heroic Journey,"In this stirring drama, the director Eliza Hittman tells an intimate story that is also a potent argument about self-determination.",https://www.nytimes.com/2020/03/12/movies/never-rarely-sometimes-always-review.html,2020-03-12,Movies,By Manohla Dargis,"A low-key knockout, “Never Rarely Sometimes Always” tells a seldom-told story about abortion. And it does so without cant, speeches, inflamed emotions and — most powerfully — without apology. At its most obvious, it follows a 17-year-old as she tries to terminate her pregnancy. It’s a seemingly simple objective that proves (no surprise given the battles over abortion) logistically difficult, forcing her to marshal her modest resources and navigate perilous twists and turns. Here, a woman’s right to self-determination has become the stuff of a new and radical heroic journey."
"Marie Newman Beats Dan Lipinski, Democratic Incumbent, in Illinois House Primary","Ms. Newman, a progressive challenger, upset Mr. Lipinski, a conservative House Democrat who had broken with his party on abortion rights and health care.",https://www.nytimes.com/2020/03/18/us/politics/marie-newman-dan-lipinski-illinois.html,2020-03-18,U.S.,By Sheryl Gay Stolberg,"WASHINGTON — Representative Dan Lipinski, a conservative Democrat from Illinois whose opposition to abortion rights and the Affordable Care Act made him a pariah in his party, lost a hard-fought primary race on Tuesday night to his progressive challenger, Marie Newman."
New Zealand Eases Abortion Restrictions,"The change was welcomed by abortion rights advocates, but even in that camp some wondered if lawmakers had gone too far.",https://www.nytimes.com/2020/03/18/world/australia/new-zealand-abortion.html,2020-03-18,World,By Richard Pérez-Peña,"Lawmakers voted on Wednesday to liberalize New Zealand’s abortion law and allow unrestricted access during the first half of pregnancy, ending the country’s status as one of the few wealthy nations to limit the grounds for abortion during that period."
Texas and Ohio Include Abortion as Medical Procedures That Must Be Delayed,The moves by the states set off a new front in the political fight over abortion during the coronavirus pandemic.,https://www.nytimes.com/2020/03/23/us/coronavirus-texas-ohio-abortion.html,2020-03-23,U.S.,By Sabrina Tavernise,"Texas and Ohio have included abortions among the nonessential surgeries and medical procedures that they are requiring to be delayed, setting off a new front in the fight over abortion rights in the middle of the coronavirus pandemic in the United States."
The Coronavirus Becomes an Excuse to Restrict Abortions,Texas and Ohio say the procedures are nonessential and must yield to the pandemic.,https://www.nytimes.com/2020/03/26/opinion/covid-abortion-ohio-texas.html,2020-03-26,Opinion,By Emily Bazelon,"Last week, Ohio’s attorney general ordered abortion clinics in the state to stop performing most surgical abortions. On Monday, the attorney general of Texas issued a stricter directive, applying to “any type of abortion that is not medically necessary to preserve the life or health of the mother” and threatening jail for providers."
Make Abortion More Available During the Pandemic — Not Less,This crisis has underscored the need for greater access to reproductive health care.,https://www.nytimes.com/2020/03/26/opinion/abortion-law-coronavirus.html,2020-03-27,Opinion,By The Editorial Board,"It’s hardly new for anti-abortion politicians to seize on any excuse to try to restrict women’s bodily autonomy, but it is a new low to exploit a pandemic that’s already cost hundreds of American lives, and threatens many thousands more."
"Texas Abortion Clinics Can Keep Operating, Judge Rules",A Texas order said abortion was a nonessential medical procedure that had to be delayed because of the coronavirus. A federal judge ruled that amounted to a ban on abortion.,https://www.nytimes.com/2020/03/30/us/abortion-clinics-coronavirus-texas.html,2020-03-30,U.S.,By Sabrina Tavernise,"Update: On Tuesday, a federal appeals court blocked Monday’s ruling, a move that allows authorities in Texas to resume carrying out their order that abortions have to be delayed during the cornavirus pandemic. Failure to comply, the state has said, could result in penalties of up to $1,000 or 180 days in jail. The Center for Reproductive Rights, which represents abortion clinics, said clinics in Texas were canceling appointments on Tuesday afternoon."
Seeing Abortion Laws From a Teenager’s Point of View,"Eliza Hittman explains how she came to make her timely odyssey “Never Rarely Sometimes Always,” the unusual movie about abortion rights that makes bureaucracy the villain.",https://www.nytimes.com/2020/04/03/movies/abortion-movie-director.html,2020-04-03,Movies,By Reggie Ugwu,"Before writing her new movie, “Never Rarely Sometimes Always,” about the odyssey of a 17-year-old girl in present-day Pennsylvania seeking a legal abortion, the director Eliza Hittman embarked on a journey of her own. Hittman makes movies of quietly operatic intensity about vulnerable characters in unremarkable places. To find their narratives, she begins in the field, exploring prospective locations like a sculptor wandering a quarry."
Red States Are Exploiting Coronavirus to Ban Abortion,"For autocrats everywhere, the crisis is a chance to restrict rights.",https://www.nytimes.com/2020/04/06/opinion/abortion-covid.html,2020-04-07,Opinion,By Michelle Goldberg,"Last week, a 24-year-old woman living in Arlington, Texas, filed a court declaration describing what she’s gone through since the governor, Greg Abbott, used the coronavirus crisis as a pretext to essentially ban abortions."
What’s on TV Thursday: ‘Never Rarely Sometimes Always’ and ‘Shaq Life’,Eliza Hittman’s newly released drama is available for digital rental. And “Shaq Life” debuts on TNT.,https://www.nytimes.com/2020/04/09/arts/television/whats-on-tv-thursday-never-rarely-sometimes-always-and-shaq-life.html,2020-04-09,Arts,By Gabe Cohn,"NEVER RARELY SOMETIMES ALWAYS (2020) Rent on Amazon, Fandango Now, Google Play, iTunes, Vudu and YouTube. A teenager goes on a subtly perilous journey to terminate her pregnancy in “Never Rarely Sometimes Always,” the latest feature from the filmmaker Eliza Hittman. The movie follows Autumn (Sidney Flanigan), a 17-year-old who can’t get an abortion in her central Pennsylvania hometown without parental permission, which isn’t in the cards for her. So she takes a bus to New York, where she can have the procedure without permission. But the city presents its own host of challenges. Manohla Dargis called the movie a “low-key knockout” in her review for The Times. “Hittman is telling a story,” Dargis added, “but she’s also making a quietly fierce argument about female sovereignty.”"
"Technically Legal in Northern Ireland, Abortions Are Still Unobtainable","The rollout of services has been hung up by arguments over telemedicine abortions, amid suspicions the health minister is trying to stop the process any way he can.",https://www.nytimes.com/2020/04/09/world/europe/northern-ireland-abortion.html,2020-04-09,World,By Ceylan Yeginsu,"LONDON — A week after abortion was supposed to become freely available in Northern Ireland, women continue to be denied access to services and are instead enduring an eight-hour ferry ride to Liverpool, England, despite the coronavirus lockdown."
Legal Abortion Begins in Northern Ireland,"Under a threat from women’s groups to take the matter to court, the health authorities confirmed that the procedure could now be carried out by medical professionals in the region.",https://www.nytimes.com/2020/04/10/world/europe/northern-ireland-abortion-uk.html,2020-04-10,World,By Ceylan Yeginsu,"LONDON — After a week of mounting legal pressure, Northern Ireland’s Department of Health authorized abortion services in the region late on Thursday, putting into force legislation that overturns one of the world’s most restrictive abortion laws."
Abortion and the Virus,A Texas ob-gyn objects to the governor’s effort to rationalize a ban. Also: Close Central Park; a new friendliness; theater and the AIDS epidemic.,https://www.nytimes.com/2020/04/10/opinion/letters/coronavirus-abortion-texas.html,2020-04-10,Opinion,,To the Editor:
How the Virus Crisis Could Help a Red-State Democrat Stay in Office,"In North Carolina, where the governor’s race is tight, and New Hampshire, where a Republican seeks re-election in a blue-trending state, incumbents could benefit from newfound star power.",https://www.nytimes.com/2020/04/11/us/politics/coronavirus-governors-north-carolina-new-hampshire.html,2020-04-11,U.S.,By Trip Gabriel,"Gov. Chris Sununu of New Hampshire is ideologically limber, a Republican who favors abortion rights but vetoed a bill banning firearms on school property. At 45, he is one of America’s youngest governors, and a member of a well-known political family. He is also seeking re-election in a state increasingly inhospitable to his party."
Fight Over Texas Abortion Ban Reaches Supreme Court,"State officials say the pandemic requires restricting abortions, while clinics say the state is cynically using the crisis to achieve longstanding goals.",https://www.nytimes.com/2020/04/11/us/coronavirus-texas-abortion-ban-supreme-court.html,2020-04-11,U.S.,By Adam Liptak,WASHINGTON — Abortion providers in Texas asked the Supreme Court on Saturday to let their clinics continue to perform some procedures after a federal appeals court temporarily upheld orders from state officials prohibiting most abortions.
‘Overwhelmed and Frustrated’: What It’s Like Trying to Get an Abortion in Texas,"Pregnant women are scrambling to get access to the procedure, driving hundreds of miles out of state. The fight has resulted in a flurry of court rulings.",https://www.nytimes.com/2020/04/14/us/abortion-texas-coronavirus.html,2020-04-14,U.S.,By Sabrina Tavernise,"The 31-year-old from Houston knew she did not want another baby. She already had three — her youngest, a boy, was just 6 months old. And she had just been laid off from her job in a medical billing office, another casualty of America’s growing unemployment crisis."
"Feminism Means a Lot of Things, and This Book Contains Them All","The anthology “Burn It Down!,” edited by Breanne Fahs, collects manifestos from a range of perspectives and voices.",https://www.nytimes.com/2020/04/15/books/review-burn-it-down-feminist-manifestos-breanne-fahs.html,2020-04-15,Books,By Jennifer Szalai,"Reading “Burn It Down!,” an anthology of feminist manifestos edited by Breanne Fahs, I couldn’t decide whether the book amounted to a celebration or an elegy. In her learned and impassioned introduction, Fahs starts out by enumerating a litany of feminist accomplishments only to pair most of them with their backlash. Federally supported family leave? Typically unpaid. Women’s studies programs? They exist, but they’re dwindling. Abortion access may have expanded worldwide; in the United States, though, it’s in jeopardy."
What Does It Really Mean to Be 6 Weeks Pregnant?,So-called ‘heartbeat’ legislation restricting abortion as early as six weeks into pregnancy has started a conversation about when most women actually learn that they’re pregnant.,https://www.nytimes.com/2020/04/19/parenting/abortion-six-weeks-pregnant.html,2020-04-19,Parenting,By Christina Caron,"This story was originally published on May 18, 2019 in NYT Parenting."
"Noach Dear, Combative Brooklyn Councilman and Judge, Dies at 66","In pursuing his constituents’ Orthodox Jewish agenda, he opposed abortion rights and legislation to ban discrimination against gay people.",https://www.nytimes.com/2020/04/20/obituaries/noach-dear-dead-coronavirus.html,2020-04-20,Obituaries,By Sam Roberts,"Noach Dear, who served nearly two decades on the New York City Council as an outlier, advocating on behalf of the conservative agenda of his Orthodox Jewish constituents in Brooklyn while defending himself against accusations of conflicts of interest, died on Sunday in Brooklyn. He was 66."
"How Abortion, Guns and Church Closings Made Coronavirus a Culture War",Flattening the curve is now one of the most contentious issues in politics.,https://www.nytimes.com/2020/04/20/us/politics/coronavirus-protests-democrats-republicans.html,2020-04-20,U.S.,By Jeremy W. Peters,This is what it looks like when a pandemic collides with the culture wars in America.
Texas Allows Abortions to Resume During Coronavirus Pandemic,"After weeks of wrangling in the courts, the state eased the restrictions on some surgical procedures, including abortion.",https://www.nytimes.com/2020/04/22/us/coronavirus-abortion-texas.html,2020-04-23,U.S.,By Sabrina Tavernise,"WASHINGTON — In a surprise move on Wednesday night, the authorities in Texas abandoned their fight to include abortion in a list of medical procedures that must be delayed during the coronavirus pandemic."
Abortion by Telemedicine: A Growing Option as Access to Clinics Wanes,The coronavirus has created a surge in demand for telemedicine of all types — including for a quietly expanding program for terminating pregnancies.,https://www.nytimes.com/2020/04/28/health/telabortion-abortion-telemedicine.html,2020-04-28,Health,By Pam Belluck,Ashley Dale was grateful she could end her pregnancy at home.
Trump Pushes Young Republicans Away. Abortion Pulls Them Back.,"On everything from climate change to marijuana, the generational divide that is evident among Democrats is no less present on the other side of the aisle. It’s just less visible.",https://www.nytimes.com/2020/05/06/us/politics/young-republicans-trump.html,2020-05-06,U.S.,By Maggie Astor,Jose Francisco Rodriguez supports a path to citizenship for undocumented immigrants. Mary-Faith Martinez supports a public health care option. Ethan Lucky supports criminal justice reform. Autumn Crawford wants government action on climate change.
"Amid Covid-19, a Call for M.D.s to Mail the Abortion Pill","For decades, the consensus has been that F.D.A. regulations require that the abortion pill be obtained in a clinic. But that’s changing.",https://www.nytimes.com/2020/05/12/opinion/covid-abortion-pill.html,2020-05-12,Opinion,By Patrick Adams,"Last fall, months before America’s first outbreak of the coronavirus, Francine Coeytaux and Elisa Wells, co-founders of the abortion rights advocacy group Plan C, were reaching out to doctors with a question they said was urgent:"
"Roe v. Wade Plaintiff Was Paid to Switch Sides, Documentary Says","Before dying in 2017, Norma McCorvey said she had supported anti-abortion groups only for the money.",https://www.nytimes.com/2020/05/19/us/roe-v-wade-mccorvey-documentary.html,2020-05-19,U.S.,By Jenny Gross and Aimee Ortiz,"Norma McCorvey, the anonymous plaintiff in Roe v. Wade, the landmark 1973 U.S. Supreme Court ruling that legalized abortion throughout the United States, said she had later spoken out on behalf of the anti-abortion movement only because she was paid to do so, according to a new documentary."
Jane Roe’s Pro-Life Conversion Was a Con,Norma McCorvey makes a shocking deathbed confession.,https://www.nytimes.com/2020/05/22/opinion/roe-v-wade-mccorvey-documentary.html,2020-05-22,Opinion,By Michelle Goldberg,"In 2006, I went to Jackson, Miss., to report on the weeklong siege of the state’s last abortion clinic by the anti-abortion group Operation Save America. Flip Benham, then the group’s leader, had T-shirts made up, black with white lettering, saying, “Homosexuality Is Sin! Islam Is a Lie! Abortion Is Murder! Some Issues Are Just Black and White!”"
It’s America’s Bluest House Seat. How Is This Man a Top Contender?,"The Rev. Rubén Díaz Sr. opposes abortion, has made homophobic statements and may vote for President Trump. And he’s a Democrat. In the Bronx.",https://www.nytimes.com/2020/06/09/nyregion/ruben-diaz-bronx-congress.html,2020-06-09,New York,By Shane Goldmacher,"The single most Democratic congressional district in America could next be held by a Democrat who opposes abortion rights, has a history of endorsing Republicans and making homophobic remarks and ­is still considering voting for President Trump in November."
Coronavirus Created an Obstacle Course for Safe Abortions,"But during the pandemic, a few countries liberalized their requirements, allowing at-home medical terminations.",https://www.nytimes.com/2020/06/14/world/europe/coronavirus-abortion-obstacles.html,2020-06-14,World,"By Matina Stevis-Gridneff, Alisha Haridasani Gupta and Monika Pronczuk","BRUSSELS — When a 19-year-old woman from southern Poland decided to end her pregnancy at 18 weeks, she knew the only way to get an abortion was to rush to a neighboring European country."
The Rising Trump Lawyer Battling to Reshape the Electorate,He’s argued against affirmative action at Harvard and abortion in Georgia. Now he has a leading role as Republicans push a new wave of voting measures across the U.S.,https://www.nytimes.com/2020/06/15/us/elections/voting-william-consovoy-trump.html,2020-06-15,U.S.,By Danny Hakim and Stephanie Saul,"As victory laps go, it was remarkably low-key."
